Type,Title,Correct,Choice,Choice,Choice,Choice,Choice,Choice,Choice
"OpenQuestion","q66313",,"","","","","","",""
"OpenQuestion","q37619",,"","","","","","",""
"OpenQuestion","q71238",,"","","","","","",""
"MCQ","Le polymorphisme permet de...",3,"Créer plusieurs constructeurs pour une classe","Rendre tous les attributs privés","Traiter différents objets via un type commun","Empêcher l'héritage","","",""
"OpenQuestion","q51834",,"","","","","","",""
"OpenQuestion","q23365",,"","","","","","",""
"OpenQuestion","q70812",,"","","","","","",""
"MCQ","Animal a = new Chien(); a.crier(); — Quelle version de crier() est appelée ?",2,"Celle de Animal toujours","Celle de Chien (liaison dynamique)","Aucune; erreur de compilation","Cela dépend du constructeur","","",""
"MCQ","Convertir un Chien en Animal s'appelle...",1,"Upcasting (implicite et sûr)","Downcasting (explicite et risqué)","Autoboxing","Pattern matching","","",""
"MCQ","Animal a = new Chien(); Que faut-il faire avant de caster a en Chien ?",3,"Appeler super()","Utiliser equals()","Vérifier avec instanceof","Rien; le cast est automatique","","",""
"OpenQuestion","q68925",,"","","","","","",""
"OpenQuestion","q40409",,"","","","","","",""
"MCQ","Selon le principe de Liskov; quel type de paramètre est préférable ?",2,"Le type le plus concret possible","Le type le plus générique possible","Toujours Object","Le type de la classe appelante","","",""
"OpenQuestion","q62940",,"","","","","","",""
"MCQ","L'autoboxing est la conversion automatique de...",1,"Primitif vers Wrapper (int → Integer)","Wrapper vers Primitif (Integer → int)","String vers int","Object vers String","","",""
"MCQ","Integer a = 200; Integer b = 200; a == b retourne...",2,"true toujours","false (car hors du cache -128 à 127)","Erreur de compilation","NullPointerException","","",""
"MCQ","Integer x = null; int y = x; — Que se passe-t-il ?",3,"y vaut 0","Erreur de compilation","NullPointerException à l'exécution","y vaut null","","",""
"MCQ","Pour des calculs intensifs en boucle; que faut-il utiliser ?",1,"Les types primitifs (int; long; double)","Les wrappers (Integer; Long; Double)","C'est équivalent en performance","Toujours Object","","",""
"MCQ","Un record en Java est...",2,"Un type de collection","Une classe immutable avec constructeur; accesseurs; equals; hashCode; toString auto-générés","Un alias pour les classes abstraites","Un type de boucle","","",""
"OpenQuestion","q74304",,"","","","","","",""
"MCQ","Pour un record Point(int x; int y); comment accéder à x ?",2,"point.getX()","point.x()","point.x","Point.x()","","",""
"MCQ","Peut-on modifier les champs d'un record après sa création ?",3,"Oui avec un setter","Oui en accédant directement au champ","Non; les champs sont final","Oui si on utilise this","","",""
"MCQ","Un record peut-il hériter d'une classe ?",2,"Oui; avec extends","Non; il hérite implicitement de java.lang.Record","Oui; seulement d'une classe abstraite","Oui; mais sans constructeur","","",""
"OpenQuestion","q33097",,"","","","","","",""
"MCQ","Une exception en Java représente...",2,"Une erreur de syntaxe","Une erreur survenant à l'exécution","Un warning du compilateur","Un type de classe abstraite","","",""
"OpenQuestion","q48994",,"","","","","","",""
"OpenQuestion","q32760",,"","","","","","",""
"MCQ","Quelle exception est unchecked (non vérifiée à la compilation) ?",3,"IOException","SQLException","NullPointerException","FileNotFoundException","","",""
"OpenQuestion","q49167",,"","","","","","",""
"MCQ","Pour créer une exception métier; on doit...",2,"Utiliser le mot-clé exception","Créer une classe qui hérite de Exception ou RuntimeException","Annoter une classe avec @Exception","Déclarer une interface Exception","","",""
"MCQ","Le bloc finally s'exécute...",3,"Seulement si une exception est levée","Seulement si aucune exception n'est levée","Dans tous les cas (exception ou pas)","Seulement après un return","","",""
"MCQ","Le try-with-resources ferme automatiquement les ressources qui implémentent...",2,"Closeable uniquement","AutoCloseable","Serializable","Iterable","","",""
"OpenQuestion","q11596",,"","","","","","",""
"MCQ","Quelle est la bonne pratique quand on attrape une exception ?",3,"Laisser le bloc catch vide","Toujours attraper Exception générique","Attraper l'exception la plus spécifique et la traiter/loguer","Utiliser throws partout","","",""
"OpenQuestion","q44176",,"","","","","","",""
"MCQ","Une classe qui gère le calcul; l'envoi d'email ET la sauvegarde en base viole...",1,"Le principe de responsabilité unique (SRP)","Le principe ouvert/fermé (OCP)","Le principe de Liskov (LSP)","Le principe d'inversion de dépendances (DIP)","","",""
"MCQ","Comment ajouter un nouveau type de forme (Triangle) sans modifier le code existant ?",2,"Ajouter un if/else dans la méthode calculerSurface()","Créer une classe Triangle qui hérite de Forme et redéfinit surface()","Modifier la classe Forme pour ajouter Triangle","Utiliser un switch sur le type","","",""
"MCQ","Carre extends Rectangle pose problème car...",2,"Un carré n'a pas de côtés","Modifier largeur et hauteur indépendamment casse le contrat du carré","Rectangle ne peut pas être hérité","Il faut utiliser une interface","","",""
"MCQ","Une interface avec 10 méthodes dont une classe n'en utilise que 2 viole...",3,"SRP","OCP","ISP — Ségrégation des interfaces","DIP","","",""
"MCQ","Selon DIP; une classe NotificationService doit dépendre de...",3,"EmailSender directement","SmsSender directement","Une interface MessageSender","System.out.println()","","",""
"OpenQuestion","q84565",,"","","","","","",""
"MCQ","Le refactoring consiste à...",2,"Ajouter de nouvelles fonctionnalités","Réorganiser le code sans changer son comportement","Corriger des bugs","Supprimer du code inutile","","",""
"MCQ","Quand une classe fait plus de 150 lignes avec des blocs séparés par des commentaires; il faut...",2,"Ajouter plus de commentaires","Extraire des services dédiés (une responsabilité chacun)","Tout mettre en static","Créer des sous-classes","","",""
"OpenQuestion","q33533",,"","","","","","",""
"MCQ","Un attribut static appartient à...",2,"Chaque instance séparément","La classe elle-même (partagé par toutes les instances)","La méthode main uniquement","L'interface parente","","",""
"MCQ","Une méthode static peut-elle utiliser this ?",2,"Oui toujours","Non; car elle n'est liée à aucune instance","Oui; si l'attribut est public","Seulement dans le constructeur","","",""
"OpenQuestion","q41177",,"","","","","","",""
"OpenQuestion","q98271",,"","","","","","",""
"MCQ","Quel usage est approprié pour static ?",1,"Une méthode utilitaire sans état (ex: Math.abs())","Un attribut qui varie par instance","Le cœur de la logique métier","Toutes les méthodes d'une classe","","",""
"MCQ","Une méthode static peut-elle être redéfinie (@Override) dans une sous-classe ?",2,"Oui; comme une méthode normale","Non; les méthodes static ne supportent pas le polymorphisme","Oui; mais seulement avec super","Oui; si la classe parente est abstract","","",""
"OpenQuestion","q27581",,"","","","","","",""
"MCQ","On ajoute un nouveau moyen de paiement sans toucher au code existant. Quel principe SOLID ?",2,"SRP","OCP — Ouvert/Fermé","LSP","ISP","","",""
